"행정구역(시군구)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",47732558,48021543,48229948,48386823,48583805,48782274,48991779,49268928,49540367,49773145,50515666,50734284,50948272,51141463,51327916,51529338,51696216,51778544
"서울특별시",10311314,10263336,10207295,10174086,10173162,10167344,10181166,10192710,10200827,10208302,10312545,10249679,10195318,10143645,10103233,10022181,9930616,9857426
"부산광역시",3796506,3770536,3730125,3691445,3666345,3638293,3611992,3587439,3564577,3543030,3567910,3550963,3538484,3527635,3519401,3513777,3498529,3470653
"대구광역시",2524253,2525109,2525803,2529544,2524712,2511306,2496115,2493261,2492724,2489781,2511676,2507271,2505644,2501588,2493264,2487829,2484557,2475231
"인천광역시",2545769,2564598,2577989,2570194,2578817,2600495,2624391,2664576,2692696,2710579,2758296,2801274,2843981,2879782,2902608,2925815,2943069,2948542
"광주광역시",1371909,1383765,1397452,1395762,1401172,1401745,1407798,1413444,1422702,1433640,1454636,1463464,1469216,1472910,1475884,1472199,1469214,1463770
"대전광역시",1385606,1403164,1419573,1432296,1443471,1454638,1466158,1475659,1480895,1484180,1503664,1515603,1524583,1532811,1531809,1518775,1514370,1502227
"울산광역시",1040225,1055618,1065037,1072867,1081453,1087648,1092494,1099995,1112407,1114866,1126298,1135494,1147256,1156480,1166377,1173534,1172304,1165132
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,113117,122153,156125,210884,243048,280100
"경기도",9219343,9544496,9927473,10206851,10462920,10697215,10906033,11106211,11292264,11460610,11786622,11937415,12093299,12234630,12357830,12522606,12716780,12873895
"강원도",1554688,1552407,1538720,1527034,1521375,1513110,1505420,1503806,1508575,1512870,1529818,1536448,1538630,1542263,1544442,1549507,1550806,1550142
"충청북도",1497513,1496520,1492713,1489635,1488945,1488803,1494559,1506608,1519587,1527478,1549528,1562903,1565628,1572732,1578933,1583952,1591625,1594432
"충청남도",1921604,1918137,1907725,1912803,1953406,1962646,1974433,1995531,2018537,2037582,2075514,2101284,2028777,2047631,2062273,2077649,2096727,2116770
"전라북도",1999255,2006454,1953846,1954430,1906742,1885335,1868365,1862277,1855772,1854508,1868963,1874031,1873341,1872965,1871560,1869711,1864791,1854607
"전라남도",2130614,2099308,2054204,2017730,1986192,1967205,1942925,1929836,1919000,1913004,1918485,1914339,1909618,1907172,1905780,1908996,1903914,1896424
"경상북도",2797178,2784704,2756744,2720832,2695917,2688491,2688577,2681364,2673931,2669876,2689920,2699195,2698353,2699440,2700794,2702826,2700398,2691706
"경상남도",3094413,3106502,3124418,3139017,3143814,3160431,3172857,3196953,3225255,3250176,3290536,3308765,3319314,3333820,3350257,3364702,3373871,3380404
"제주특별자치도",542368,546889,550831,552297,555362,557569,558496,559258,560618,562663,571255,576156,583713,593806,607346,624395,641597,657083
