,시도,시군구,처리방법,총발생량,가연성총발생량,음식물채소류,종이류,나무류,고무피혁류,플라스틱류,가연성기타,불연성총발생량,금속초자류,토사류,불연성기타,재활용총발생량,재활용종이류,재활용유리병류,고철류,재활용캔류,재활용플라스틱류,재활용기타,year,총플라스틱배출량,재활용합성수지류,재활용전자제품,재활용고철류,재활용영농폐기물,종량제총발생량,유리류,금속류,불연성기타(배출불명),재활용발포수지류
0,전국,합계,전체,50736.8,30118.5,11398.4,5623.6,2454.2,1296.9,2605.7,6739.7,5668.5,896.3,1101.4,3075.7,14949.8,6788.1,2333.9,2795.2,669.1,1350.7,"1,012.8 ",2003,3956.4,,,,,,,,,
1,전국,합계,매 립,20450.1,14892.5,2835.7,3298.1,1228.7,831.2,1615.9,5082.9,5421.3,862.4,1072.7,2935.2,136.3,27.1,23.7,7.2,4.5,36.1,37.7 ,2003,1652.0,,,,,,,,,
2,전국,합계,소 각,7348.3,7237.4,844.3,2248.7,1163.0,449.6,931.3,1600.5,37.2,1.3,2.4,33.5,73.7,12.9,8.3,2.6,1.5,16.3,32.1 ,2003,947.6,,,,,,,,,
3,전국,합계,재활용,22938.4,7988.6,7718.4,76.8,62.5,16.1,58.5,56.3,210.0,32.6,26.3,107.0,14739.8,6748.1,2301.9,2785.4,663.1,1298.3,943.0 ,2003,1356.8,,,,,,,,,
4,서울,소계,전체,12058.3,7280.9,2599.3,1112.8,422.9,276.2,402.3,2467.4,643.4,111.1,136.3,375.1,4134.0,2215.3,552.9,847.2,175.5,248.5,94.6 ,2003,650.8,,,,,,,,,
5,서울,소계,매 립,5117.4,4476.6,556.9,947.1,276.3,226.8,327.7,2141.8,640.8,111.1,136.3,372.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2003,327.7,,,,,,,,,
6,서울,소계,소 각,765.2,762.6,0.7,165.7,146.6,49.4,74.6,325.6,2.6,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0,2003,74.6,,,,,,,,,
7,서울,소계,재활용,6175.7,2041.7,2041.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.0,2215.3,552.9,847.2,175.5,248.5,94.6 ,2003,248.5,,,,,,,,,
8,부산,소계,전체,3980.3,2160.2,934.6,385.1,75.8,84.1,236.4,444.2,281.2,106.5,28.8,135.1,1538.9,888.0,228.5,174.8,55.9,174.5,17.2 ,2003,410.9,,,,,,,,,
9,부산,소계,매 립,1200.8,919.6,144.0,242.1,31.0,58.5,156.9,287.1,281.2,106.5,28.8,135.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2003,156.9,,,,,,,,,
10,부산,소계,소 각,570.4,570.4,120.4,143.0,44.8,25.6,79.5,157.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2003,79.5,,,,,,,,,
11,부산,소계,재활용,2209.1,670.2,670.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.9,888.0,228.5,174.8,55.9,174.5,17.2 ,2003,174.5,,,,,,,,,
12,대구,소계,전체,2641.0,1663.3,550.0,372.6,253.1,109.0,179.1,199.5,256.7,53.7,54.5,105.1,721.0,310.4,88.8,192.0,20.8,64.1,44.9 ,2003,243.2,,,,,,,,,
13,대구,소계,매 립,1069.0,812.3,82.1,249.6,92.3,89.5,135.1,163.7,256.7,53.7,54.5,105.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2003,135.1,,,,,,,,,
