"시도별","year","플라스틱","총쓰레기","종이류","유리병류","캔류","일인가구","인구증가율","플라스틱산업부가가치","비알콜음료업점포수","경제성장률","과대포장금지법","배달량","원유수입단가","경제활동인구","지역내총생산","제조업","숙박및음식점업","농림어업","취수시설"
"서울",2002,744.1,12052.3,3264.7,540.7,164.6,576135,-0.49,110911,0,6.8,0,0,0,0,0,0,0,0,0
"부산",2002,417.5,4031.5,1246.8,229.6,58.5,181674,-1.02,168847,0,4.3,0,0,0,0,0,0,0,0,0
"대구",2002,301.6,2642,680.3,120,41.4,124788,0.04,221569,0,4.5,0,0,0,0,0,0,0,0,0
"인천",2002,238,2312.9,509.1,116.4,32,115809,0.56,254377,0,9.7,0,0,0,0,0,0,0,0,0
"광주",2002,155,1494,346.5,47.6,23.2,72586,1.02,528155,0,7.3,0,0,0,0,0,0,0,0,0
"대전",2002,159.7,1640.3,329.3,87.4,17.7,77086,1.14,440412,0,6.7,0,0,0,0,0,0,0,0,0
"울산",2002,154.7,1381.8,317.9,80.9,14.7,49622,0.93,277018,0,7.9,0,0,0,0,0,0,0,0,0
"세종",2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경기",2002,801.2,9069,2281.8,566,166,427552,4.04,1246981,0,8.3,0,0,0,0,0,0,0,0,0
"강원",2002,167.6,2138.7,389.6,42.2,20.7,104233,-0.85,29044,0,2.4,0,0,0,0,0,0,0,0,0
"충북",2002,81.1,1604,378.5,45.9,14.3,92546,-0.2,193813,0,4.8,0,0,0,0,0,0,0,0,0
"충남",2002,112.5,2047.5,432.9,95.4,24.9,120146,-0.49,697987,0,7.9,0,0,0,0,0,0,0,0,0
"전북",2002,91.4,1626.6,371.6,53.3,22.2,118569,-2.6,103803,0,2.8,0,0,0,0,0,0,0,0,0
"전남",2002,131.8,1979.6,256.5,99.2,11.4,143431,-2.11,249584,0,4.2,0,0,0,0,0,0,0,0,0
"경북",2002,127.3,2231.7,452.9,66.8,34.3,187448,-0.95,572102,0,5.9,0,0,0,0,0,0,0,0,0
"경남",2002,293.9,3002,676.7,92.3,33.9,187757,0.62,764906,0,6.6,0,0,0,0,0,0,0,0,0
"제주",2002,27.8,647.7,234.8,15.2,6,30491,0.79,0,0,5.7,0,0,0,0,0,0,0,0,0
"서울",2003,650.8,12058.3,3328.1,552.9,175.5,613080,-0.03,82509,0,1.1,0,0,0,5043,203336792,11965670,7062680,367368,0
"부산",2003,410.9,3980.3,1273.1,228.5,55.9,195393,-0.96,170852,0,3.2,0,0,0,1688,46238523,7492873,1591146,672222,0
"대구",2003,243.2,2641,683,88.8,20.8,133226,0.16,122040,0,1.4,0,0,0,1196,27593321,5024156,815006,149464,0
"인천",2003,243.7,2444.6,466.6,93.9,32.4,125149,0.2,266453,0,1.9,0,0,0,1225,39276664,11331043,937840,378510,0
"광주",2003,141,1487.9,318.5,53.1,28.4,78776,-0.06,391994,0,0.1,0,0,0,625,16613038,3033366,550712,221507,0
"대전",2003,164.3,1688.1,328,90.6,16.9,84259,0.98,468269,0,4.6,0,0,0,664,18551621,2565801,581937,82822,0
"울산",2003,109.7,1330.4,287.4,86.2,13.3,53167,0.81,226713,0,-1.8,0,0,0,487,36793160,17735455,368745,121742,0
"세종",2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경기",2003,869.8,9354.5,2388.1,585.6,180.6,472551,3.62,1449927,0,5.3,0,0,0,4767,159674974,50767026,3758915,2765762,0
"강원",2003,135.7,1993.9,364.9,42.5,15,110577,-0.67,31884,0,5.1,0,0,0,684,21791108,2281071,779875,1402104,0
"충북",2003,85.5,1636.7,379.5,51.9,15.2,99430,-0.06,232617,0,2.9,0,0,0,689,24392864,8073185,557624,1612835,0
"충남",2003,137.4,2194.3,450,106.2,25.9,129670,0.6,685304,0,10.4,0,0,0,935,42581509,15108804,720509,3253916,0
"전북",2003,101.1,1754.2,314.3,96.6,19.7,125464,0.07,112572,0,0.9,0,0,0,862,24325959,5130020,483533,2522948,0
"전남",2003,156.5,2194,312.9,109.9,16.8,149806,-1.71,294918,0,1.3,0,0,0,992,38075407,10176667,614820,4009370,0
"경북",2003,179.7,2340,568.1,57.2,19.6,199213,-1.22,494585,0,7.2,0,0,0,1394,52583808,22250731,867799,3314579,0
"경남",2003,294.3,3010.3,726,76.9,27,200173,0.6,665335,0,3.7,0,0,0,1504,55350033,20637726,1067357,2773310,0
"제주",2003,32.8,628.3,223.2,13.1,6.1,32661,0.28,0,0,2.2,0,0,0,287,7274658,221810,400800,1002324,0
