"행정구역별",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"전국",0.47,0.63,0.47,0.44,0.72,0.83,0.72,0.49,1.56,0.55,0.32,0.47,0.56,0.48,0.35,0.17
"서울특별시",-0.49,-0.03,0.11,0.09,0.57,0.63,0.33,0.08,1.06,-0.44,-0.82,-0.52,-0.18,-0.70,-0.90,-0.78
"부산광역시",-1.02,-0.96,-0.73,-0.71,-0.61,-0.56,-0.53,-0.60,0.73,-0.40,-0.35,-0.28,-0.16,-0.11,-0.38,-0.76
"대구광역시",0.04,0.16,-0.20,-0.55,-0.50,-0.02,0.00,-0.14,0.91,-0.11,-0.07,-0.11,-0.25,-0.18,-0.12,-0.37
"인천광역시",0.56,0.20,0.36,0.82,1.20,1.73,1.15,0.63,1.81,1.54,1.40,1.34,0.95,0.86,0.63,0.30
"광주광역시",1.02,-0.06,0.44,0.08,0.56,0.53,0.78,0.78,1.53,0.65,0.42,0.32,0.30,-0.15,-0.10,-0.27
"대전광역시",1.14,0.98,0.83,0.81,0.92,0.80,0.48,0.25,1.33,0.80,0.56,0.55,-0.01,-0.79,-0.25,-0.77
"울산광역시",0.93,0.81,0.84,0.66,0.72,0.89,1.27,0.26,1.11,1.01,1.09,1.06,1.13,0.63,-0.33,-0.85
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,7.92,27.46,34.94,15.13,15.17
"경기도",4.04,3.62,2.58,2.11,2.34,2.10,1.84,1.54,2.94,1.39,1.16,1.36,1.28,1.43,1.54,1.26
"강원도",-0.85,-0.67,-0.31,-0.49,-0.36,0.01,0.37,0.27,1.18,0.40,0.11,0.27,0.21,0.37,0.13,0.03
"충청북도",-0.20,-0.06,0.00,0.07,0.68,1.02,0.98,0.51,1.54,0.93,0.11,0.61,0.59,0.43,0.65,0.24
"충청남도",-0.49,0.60,2.20,0.50,0.93,1.26,1.37,1.04,2.07,1.47,-3.46,1.09,0.92,0.82,1.07,1.11
"전라북도",-2.60,0.07,-2.40,-1.05,-0.72,-0.18,-0.21,-0.01,0.78,0.36,-0.03,0.03,0.03,-0.04,-0.20,-0.47
"전라남도",-2.11,-1.71,-1.50,-0.88,-1.09,-0.50,-0.32,-0.23,0.33,-0.12,-0.25,-0.08,0.12,0.29,-0.20,-0.41
"경상북도",-0.95,-1.22,-0.86,-0.25,0.24,-0.12,-0.20,-0.16,0.80,0.45,-0.03,0.17,0.21,0.15,-0.03,-0.24
"경상남도",0.62,0.60,0.21,0.58,0.68,0.95,1.16,0.81,1.36,0.79,0.27,0.57,0.74,0.55,0.23,0.02
"제주특별자치도",0.79,0.28,0.61,0.45,0.35,0.30,0.38,0.42,1.63,1.06,1.57,2.06,2.79,3.19,3.09,2.66
