"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"전국",2224433,2417156,2609873,2802595,2995318,3170675,3380757,3573481,3766201,3958922,4142165,4344364,4548395,4742019,4938136,5203440,5397615,5618677
"서울특별시",502245,539190,576135,613080,650025,675739,723915,760860,797805,834750,854606,908639,945584,982529,1019474,1115744,1138860,1180540
"부산광역시",154237,167956,181674,195393,209112,222515,236549,250268,263987,277706,290902,305143,318862,332581,346299,361749,372412,388899
"대구광역시",107913,116351,124788,133226,141664,148331,158539,166977,175415,183852,192472,200728,209165,217603,226041,239517,247444,259525
"인천광역시",97127,106468,115809,125149,134490,141511,153172,162513,171853,181194,190882,199876,209216,218557,227898,243678,254076,266434
"광주광역시",60207,66397,72586,78776,84966,87447,97345,103535,109725,115915,122506,128294,134484,140674,146863,163577,165169,171424
"대전광역시",62742,69914,77086,84259,91431,98678,105775,112948,120120,127292,134938,141637,148809,155981,163153,169391,179605,188136
"울산광역시",42532,46077,49622,53167,56712,57923,63802,67347,70892,74437,77421,81527,85072,88617,92162,103551,104856,107497
"세종특별자치시",0,0,0,0,0,0,0,0,0,0,0,0,11312,12215,15612,21889,27683,31472
"경기도",337555,382554,427552,472551,517550,562995,607547,652546,697545,742544,777360,832541,877540,922539,967537,1026471,1067916,1124541
"강원도",91545,97889,104233,110577,116921,122139,129609,135953,142297,148641,155453,161329,167672,174016,180360,189379,197917,199645
"충청북도",78780,85663,92546,99430,106313,114584,120079,126962,133845,140728,150455,154495,161378,168261,175144,173598,187377,195186
"충청남도",101097,110621,120146,129670,139195,149102,158243,167768,177292,186817,201875,205865,215390,224914,234439,234513,247056,259727
"전라북도",104780,111675,118569,125464,132359,136754,146148,153043,159938,166832,175026,180622,187516,194411,201306,213750,222201,227600
"전라남도",130679,137055,143431,149806,156182,163718,168934,175309,181685,188061,197084,200812,207188,213564,219940,218864,227225,232022
"경상북도",163919,175684,187448,199213,210977,224611,234506,246271,258035,269800,289704,293329,305093,316858,328622,322569,336547,346998
"경상남도",162923,175340,187757,200173,212590,226117,237424,249841,262257,274674,286485,299508,311925,324341,336758,346754,358430,370293
"제주특별자치도",26152,28322,30491,32661,34831,38511,39170,41340,43510,45679,44996,50019,52189,54358,56528,58446,62841,68738
