,시도,시군구,처리방법,총발생량,가연성총발생량,음식물채소류,종이류,나무류,고무피혁류,플라스틱류,가연성기타,불연성총발생량,금속초자류,토사류,불연성기타,재활용총발생량,재활용종이류,재활용유리병류,고철류,재활용캔류,재활용플라스틱류,재활용기타,year,총플라스틱배출량,재활용합성수지류,재활용전자제품,재활용고철류,재활용영농폐기물,종량제총발생량,유리류,금속류,불연성기타(배출불명),재활용발포수지류
0,전국,합계,전체,50736.8,30118.5,11398.4,5623.6,2454.2,1296.9,2605.7,6739.7,5668.5,896.3,1101.4,3075.7,14949.8,6788.1,2333.9,2795.2,669.1,1350.7,"1,012.8 ",2003,3956.4,,,,,,,,,
1,전국,합계,전체,50007.3,29439.1,11463.6,5735.1,2421.0,1316.9,2641.9,5860.6,5702.7,845.1,1027.6,3256.4,14865.5,6441.0,2293.8,2683.8,764.8,1444.3,"1,237.8 ",2004,4086.2,,,,,,,,,
2,전국,합계,전체,48398.3,29213.4,12976.7,5473.1,2261.7,1207.3,2490.0,4804.6,4457.0,704.7,902.6,2238.8,14728.0,6184.8,2341.0,2641.5,759.8,1588.2,"1,212.70",2005,4078.2,,,,,,,,,
3,전국,합계,전체,48843.8,18520.3,1909.5,5165.7,2308.0,1155.1,2721.6,5034.4,4218.8,711.5,949.1,1994.9,14645.0,5732.4,2407.7,2546.9,794.2,1790.8,1373.9,2006,4512.4,,,,,,,,,
4,전국,합계,전체,50346.2,18158.9,698.3,5586.2,2425.3,1105.7,2859.4,5484.0,3777.8,569.7,856.1,1947.1,14655.9,5475.7,2279.5,,739.8,1671.8,1107.9,2007,4531.2,706.4,312.5,1715.5,383.5,,,,,
5,전국,합계,전체,52072.3,1115.9,5136.0,2429.7,1061.6,2703.4,6045.9,4905.3,390.2,,2122.2,14648.4,5250.4,2340.1,796.3,,1583.1,811.7,14026.2,2008,6857.5999999999985,308.1,13.5,161.6,1024.4,18492.5,438.6,1954.4,,
6,전국,합계,전체,50906.2,17977.3,417.2,4915.3,2340.6,1115.3,2816.7,6372.2,3712.7,,873.2,2038.4,15515.1,5163.9,2263.9,,727.5,1452.0,1154.8,2009,4268.7,883.9,172.6,2270.0,403.4,21690.0,425.0,376.1,,
7,전국,합계,전체,49159.0,17265.7,242.7,4783.0,2204.9,905.3,2640.6,6489.2,3674.5,,923.5,2002.5,14790.2,4809.7,2034.9,,792.4,1350.1,1428.4,2010,3990.7,883.9,186.0,2000.9,436.1,20940.2,411.3,337.2,,
8,전국,합계,전체,48934.4,17548.1,273.1,4939.8,2314.1,940.3,2644.4,6436.4,3865.6,,937.3,2168.3,14256.5,4300.7,1907.8,,734.7,1305.3,1488.8,2011,3949.7,1033.1,156.2,1971.6,486.8,21413.7,430.1,330.0,,
9,전국,합계,전체,48989.8,17594.5,171.7,5247.1,1982.2,1032.1,3010.0,6151.4,3677.1,,737.5,2161.1,14681.3,4486.3,1866.2,,730.1,1377.5,1296.5,2012,4387.5,1266.6,180.4,2243.3,502.1,21271.6,443.8,334.7,,
10,전국,합계,전체,48728.2,18420.3,162.0,5382.7,2776.3,953.6,3126.5,6019.2,3871.6,,905.6,2120.3,13935.1,4128.4,1797.4,,682.7,1238.9,1202.3,2013,4365.4,1335.2,130.1,2207.3,506.8,22291.9,499.3,346.4,,
11,전국,합계,전체,49914.8,18070.4,475.9,5410.4,1706.1,953.1,3370.0,6154.8,4194.2,,917.0,2349.2,14428.7,4485.1,1792.0,,713.8,1236.8,1321.8,2014,4606.8,1430.6,116.8,1967.1,482.8,22264.6,536.0,392.0,,
12,전국,합계,전체,51246.8,18574.7,1120.0,5444.5,1627.1,947.4,3738.7,5697.0,4595.6,,700.8,2823.9,13857.0,4513.7,1692.8,,748.9,1199.9,1273.8,2015,4938.6,1453.9,125.5,1691.4,445.4,23170.3,623.0,447.9,,
13,전국,합계,전체,53771.9,19895.8,1291.0,5631.5,1653.9,1091.0,4312.4,5916.0,4516.0,,980.8,2539.7,14417.7,4602.5,1662.8,,765.1,1133.2,1146.2,2016,5445.5999999999985,1709.5,156.8,1721.6,435.2,24965.5,561.2,434.3,553.7,117.1
14,전국,합계,전체,53489.5,19870.4,1503.5,5193.9,1582.0,997.4,4600.9,5992.7,4106.8,,641.3,2458.1,14451.2,4151.3,1572.3,,670.8,1251.4,1358.1,2017,5852.299999999998,2168.5,149.2,1489.9,465.4,24638.4,608.0,399.4,661.2,143.3
